"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"5069";"Prefeitura Municipal de Miraíma - CE";2308377;"CE";13507;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Curral Novo do Piauí - PI";2203271;"PI";5152;"31/12/2018"
"5070";"Prefeitura Municipal de Salto do Céu - MT";5107750;"MT";3423;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Curral Novo do Piauí - PI";2203271;"PI";5152;"31/12/2018"
"5071";"Prefeitura Municipal de Glória - BA";2911402;"BA";15840;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";18000;"Prefeitura Municipal de Floriano - PI";2203909;"PI";58892;"31/12/2018"
"5072";"Prefeitura Municipal de São João do Araguaia - PA";1507508;"PA";13569;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";4500;"Prefeitura Municipal de Francinópolis - PI";2204006;"PI";5265;"31/12/2018"
"5073";"Prefeitura Municipal de Solonópole - CE";2313005;"CE";18127;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";4500;"Prefeitura Municipal de Francinópolis - PI";2204006;"PI";5265;"31/12/2018"
"5074";"Prefeitura Municipal de Tracunhaém - PE";2615508;"PE";13643;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";4500;"Prefeitura Municipal de Francinópolis - PI";2204006;"PI";5265;"31/12/2018"
"5075";"Prefeitura Municipal de Barro Duro - PI";2201408;"PI";6930;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Hugo Napoleão - PI";2204600;"PI";3815;"31/12/2018"
"5076";"Prefeitura Municipal de Bocaina - PI";2201804;"PI";4440;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Hugo Napoleão - PI";2204600;"PI";3815;"31/12/2018"
"5077";"Prefeitura Municipal de Lagoa do Piauí - PI";2205581;"PI";3987;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Hugo Napoleão - PI";2204600;"PI";3815;"31/12/2018"
"5078";"Prefeitura Municipal de Cumaru do Norte - PA";1502764;"PA";12765;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5079";"Prefeitura Municipal de Garrafão do Norte - PA";1503077;"PA";25345;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5080";"Prefeitura Municipal de Quatipuru - PA";1506112;"PA";13142;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5081";"Prefeitura Municipal de Rio Maria - PA";1506161;"PA";17721;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5082";"Prefeitura Municipal de Bacuri - MA";2101301;"MA";17388;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5083";"Prefeitura Municipal de Buriti Bravo - MA";2102309;"MA";23437;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5084";"Prefeitura Municipal de Matões do Norte - MA";2106631;"MA";16552;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5085";"Prefeitura Municipal de Mirinzal - MA";2106805;"MA";14690;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5086";"Prefeitura Municipal de Tangará - RN";2414001;"RN";15700;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5087";"Prefeitura Municipal de Nazarezinho - PB";2510006;"PB";7307;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5088";"Prefeitura Municipal de Santana de Mangueira - PB";2513505;"PB";5191;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5089";"Prefeitura Municipal de Saloá - PE";2612307;"PE";15761;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5090";"Prefeitura Municipal de Botuporã - BA";2904209;"BA";10957;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5091";"Prefeitura Municipal de Piritiba - BA";2924801;"BA";25002;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5092";"Prefeitura Municipal de Santo Antônio de Posse - SP";3548005;"SP";22597;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5093";"Prefeitura Municipal de Sabáudia - PR";4122701;"PR";6644;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";300;"Prefeitura Municipal de Itaueira - PI";2205102;"PI";10837;"31/12/2018"
"5094";"Prefeitura Municipal de Curuá - PA";1502855;"PA";13783;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1000;"Prefeitura Municipal de Jacobina do Piauí - PI";2205151;"PI";5671;"31/12/2018"
"5095";"Prefeitura Municipal de Catuti - MG";3115474;"MG";5163;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1000;"Prefeitura Municipal de Jacobina do Piauí - PI";2205151;"PI";5671;"31/12/2018"
"5096";"Prefeitura Municipal de São João do Pacuí - MG";3162658;"MG";4369;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1000;"Prefeitura Municipal de Jacobina do Piauí - PI";2205151;"PI";5671;"31/12/2018"
"5097";"Prefeitura Municipal de Uraí - PR";4128401;"PR";11678;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1000;"Prefeitura Municipal de Jacobina do Piauí - PI";2205151;"PI";5671;"31/12/2018"
"5098";"Prefeitura Municipal de Barro Duro - PI";2201408;"PI";6930;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Lagoa do Piauí - PI";2205581;"PI";3987;"31/12/2018"
"5099";"Prefeitura Municipal de Bocaina - PI";2201804;"PI";4440;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Lagoa do Piauí - PI";2205581;"PI";3987;"31/12/2018"
"5100";"Prefeitura Municipal de Hugo Napoleão - PI";2204600;"PI";3815;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";598;"Prefeitura Municipal de Lagoa do Piauí - PI";2205581;"PI";3987;"31/12/2018"
"5101";"Prefeitura Municipal de Curral Novo do Piauí - PI";2203271;"PI";5152;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Palmeira do Piauí - PI";2207405;"PI";4973;"31/12/2018"
"5102";"Prefeitura Municipal de Miraíma - CE";2308377;"CE";13507;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Palmeira do Piauí - PI";2207405;"PI";4973;"31/12/2018"
"5103";"Prefeitura Municipal de Salto do Céu - MT";5107750;"MT";3423;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Palmeira do Piauí - PI";2207405;"PI";4973;"31/12/2018"
"5104";"Prefeitura Municipal de Ourém - PA";1505403;"PA";17237;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";100;"Prefeitura Municipal de Parnaguá - PI";2207603;"PI";10589;"31/12/2018"
"5105";"Prefeitura Municipal de Brejo Grande - SE";2800704;"SE";8271;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";100;"Prefeitura Municipal de Parnaguá - PI";2207603;"PI";10589;"31/12/2018"
"5106";"Prefeitura Municipal de Coração de Maria - BA";2908903;"BA";23961;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";100;"Prefeitura Municipal de Parnaguá - PI";2207603;"PI";10589;"31/12/2018"
"5107";"Prefeitura Municipal de Redentora - RS";4315404;"RS";11108;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";100;"Prefeitura Municipal de Parnaguá - PI";2207603;"PI";10589;"31/12/2018"
"5108";"Prefeitura Municipal de Morros - MA";2107100;"MA";19116;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de Passagem Franca do Piauí - PI";2207751;"PI";4491;"31/12/2018"
"5109";"Prefeitura Municipal de São Miguel do Tapuio - PI";2210409;"PI";17604;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de Passagem Franca do Piauí - PI";2207751;"PI";4491;"31/12/2018"
"5110";"Prefeitura Municipal de Alfredo Marcondes - SP";3500808;"SP";4118;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de Passagem Franca do Piauí - PI";2207751;"PI";4491;"31/12/2018"
"5111";"Prefeitura Municipal de Mojuí dos Campos - PA";1504752;"PA";15548;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5112";"Prefeitura Municipal de São João Batista - MA";2111003;"MA";20272;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5113";"Prefeitura Municipal de Capitão de Campos - PI";2202406;"PI";11205;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5114";"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5115";"Prefeitura Municipal de Riacho das Almas - PE";2611705;"PE";20286;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5116";"Prefeitura Municipal de Santa Cruz da Baixa Verde - PE";2612471;"PE";12439;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5117";"Prefeitura Municipal de Novo Triunfo - BA";2923050;"BA";16016;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5118";"Prefeitura Municipal de São Geraldo da Piedade - MG";3161601;"MG";4251;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5119";"Prefeitura Municipal de Araçoiaba da Serra - SP";3502903;"SP";31915;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018"
"5120";"Prefeitura Municipal de Curionópolis - PA";1502772;"PA";17578;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5121";"Prefeitura Municipal de Porto Franco - MA";2109007;"MA";23511;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5122";"Prefeitura Municipal de São Raimundo do Doca Bezerra - MA";2111631;"MA";5082;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5123";"Prefeitura Municipal de Condado - PE";2604601;"PE";26008;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5124";"Prefeitura Municipal de Águas de Chapecó - SC";4200507;"SC";6412;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5125";"Prefeitura Municipal de Catanduvas - SC";4204004;"SC";10503;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5126";"Prefeitura Municipal de Guaraciaba - SC";4206405;"SC";10316;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2000;"Prefeitura Municipal de Nova Santa Rita - PI";2207959;"PI";4295;"31/12/2018"
"5127";"Prefeitura Municipal de Tracuateua - PA";1508035;"PA";29793;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1740;"Prefeitura Municipal de Pio IX - PI";2208205;"PI";18095;"31/12/2018"
"5128";"Prefeitura Municipal de Loreto - MA";2106102;"MA";11943;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1200;"Prefeitura Municipal de Riacho Frio - PI";2208858;"PI";4248;"31/12/2018"
"5129";"Prefeitura Municipal de São José dos Basílios - MA";2111250;"MA";7489;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1200;"Prefeitura Municipal de Riacho Frio - PI";2208858;"PI";4248;"31/12/2018"
"5130";"Prefeitura Municipal de Caturama - BA";2907558;"BA";9764;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1200;"Prefeitura Municipal de Riacho Frio - PI";2208858;"PI";4248;"31/12/2018"
"5131";"Prefeitura Municipal de Cordeiros - BA";2909000;"BA";8870;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1200;"Prefeitura Municipal de Riacho Frio - PI";2208858;"PI";4248;"31/12/2018"
"5132";"Prefeitura Municipal de São Luiz - RR";1400605;"RR";7503;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2700;"Prefeitura Municipal de Santa Filomena - PI";2209203;"PI";6155;"31/12/2018"
"5133";"Prefeitura Municipal de Nova Alvorada do Sul - MS";5006002;"MS";20217;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";2700;"Prefeitura Municipal de Santa Filomena - PI";2209203;"PI";6155;"31/12/2018"
"5134";"Prefeitura Municipal de Baía da Traição - PB";2501401;"PB";8951;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1750;"Prefeitura Municipal de Santa Luz - PI";2209302;"PI";5741;"31/12/2018"
"5135";"Prefeitura Municipal de Araguanã - MA";2100873;"MA";15182;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";200;"Prefeitura Municipal de São João do Arraial - PI";2209971;"PI";7804;"31/12/2018"
"5136";"Prefeitura Municipal de São José do Peixe - PI";2210102;"PI";3692;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";200;"Prefeitura Municipal de São João do Arraial - PI";2209971;"PI";7804;"31/12/2018"
"5137";"Prefeitura Municipal de Araguanã - MA";2100873;"MA";15182;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";200;"Prefeitura Municipal de São José do Peixe - PI";2210102;"PI";3692;"31/12/2018"
"5138";"Prefeitura Municipal de São João do Arraial - PI";2209971;"PI";7804;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";200;"Prefeitura Municipal de São José do Peixe - PI";2210102;"PI";3692;"31/12/2018"
"5139";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";209631,83;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"5140";"Prefeitura Municipal de Morros - MA";2107100;"MA";19116;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de São Miguel do Tapuio - PI";2210409;"PI";17604;"31/12/2018"
"5141";"Prefeitura Municipal de Passagem Franca do Piauí - PI";2207751;"PI";4491;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de São Miguel do Tapuio - PI";2210409;"PI";17604;"31/12/2018"
"5142";"Prefeitura Municipal de Alfredo Marcondes - SP";3500808;"SP";4118;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";400;"Prefeitura Municipal de São Miguel do Tapuio - PI";2210409;"PI";17604;"31/12/2018"
"5143";"Prefeitura Municipal de Augustinópolis - TO";1702554;"TO";17861;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";140;"Prefeitura Municipal de São Pedro do Piauí - PI";2210508;"PI";14027;"31/12/2018"
"5144";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";209631,83;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"5145";"Prefeitura Municipal de Mojuí dos Campos - PA";1504752;"PA";15548;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5146";"Prefeitura Municipal de São João Batista - MA";2111003;"MA";20272;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5147";"Prefeitura Municipal de Capitão de Campos - PI";2202406;"PI";11205;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5148";"Prefeitura Municipal de Paulistana - PI";2207801;"PI";20198;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5149";"Prefeitura Municipal de Riacho das Almas - PE";2611705;"PE";20286;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5150";"Prefeitura Municipal de Santa Cruz da Baixa Verde - PE";2612471;"PE";12439;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5151";"Prefeitura Municipal de Novo Triunfo - BA";2923050;"BA";16016;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5152";"Prefeitura Municipal de São Geraldo da Piedade - MG";3161601;"MG";4251;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5153";"Prefeitura Municipal de Araçoiaba da Serra - SP";3502903;"SP";31915;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";500;"Prefeitura Municipal de Vera Mendes - PI";2211506;"PI";3028;"31/12/2018"
"5154";"Prefeitura Municipal de Ponta de Pedras - PA";1505700;"PA";29700;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5155";"Prefeitura Municipal de Castelo do Piauí - PI";2202604;"PI";19410;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5156";"Prefeitura Municipal de Boa Vista - PB";2502151;"PB";6986;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5157";"Prefeitura Municipal de Capela - SE";2801306;"SE";33715;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5158";"Prefeitura Municipal de Angelândia - MG";3102852;"MG";8502;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5159";"Prefeitura Municipal de Ibiraiaras - RS";4309902;"RS";7458;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";240;"Prefeitura Municipal de Ararendá - CE";2301257;"CE";10800;"31/12/2018"
"5160";"Prefeitura Municipal de Igarapé do Meio - MA";2105153;"MA";13968;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";150;"Prefeitura Municipal de Chorozinho - CE";2303956;"CE";19194;"31/12/2018"
"5161";"Prefeitura Municipal de São João do Cariri - PB";2514008;"PB";4309;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";150;"Prefeitura Municipal de Chorozinho - CE";2303956;"CE";19194;"31/12/2018"
"5162";"Prefeitura Municipal de Rio Pomba - MG";3155801;"MG";18001;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";150;"Prefeitura Municipal de Chorozinho - CE";2303956;"CE";19194;"31/12/2018"
"5163";"Prefeitura Municipal de Cachoeira Alta - GO";5204102;"GO";11844;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";150;"Prefeitura Municipal de Chorozinho - CE";2303956;"CE";19194;"31/12/2018"
"5164";"Prefeitura Municipal de Portel - PA";1505809;"PA";59322;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";3000;"Prefeitura Municipal de Jucás - CE";2307403;"CE";24540;"31/12/2018"
"5165";"Prefeitura Municipal de Irati - SC";4207858;"SC";2004;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";3000;"Prefeitura Municipal de Jucás - CE";2307403;"CE";24540;"31/12/2018"
"5166";"Prefeitura Municipal de Caseiros - RS";4304952;"RS";3174;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";3000;"Prefeitura Municipal de Jucás - CE";2307403;"CE";24540;"31/12/2018"
"5167";"Prefeitura Municipal de Maquiné - RS";4311775;"RS";7016;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";3000;"Prefeitura Municipal de Jucás - CE";2307403;"CE";24540;"31/12/2018"
"5168";"Prefeitura Municipal de Curral Novo do Piauí - PI";2203271;"PI";5152;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Miraíma - CE";2308377;"CE";13507;"31/12/2018"
"5169";"Prefeitura Municipal de Palmeira do Piauí - PI";2207405;"PI";4973;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Miraíma - CE";2308377;"CE";13507;"31/12/2018"
"5170";"Prefeitura Municipal de Salto do Céu - MT";5107750;"MT";3423;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";450;"Prefeitura Municipal de Miraíma - CE";2308377;"CE";13507;"31/12/2018"
"5171";"Prefeitura Municipal de Barreirinhas - MA";2101707;"MA";61621;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1080;"Prefeitura Municipal de Orós - CE";2309508;"CE";21342;"31/12/2018"
"5172";"Prefeitura Municipal de Belo Monte - AL";2700904;"AL";6786;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";1080;"Prefeitura Municipal de Orós - CE";2309508;"CE";21342;"31/12/2018"
"5173";"Prefeitura Municipal de Itacaré - BA";2914901;"BA";28382;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";5650;"Prefeitura Municipal de Poranga - CE";2311009;"CE";12234;"31/12/2018"
"5174";"Prefeitura Municipal de São João do Araguaia - PA";1507508;"PA";13569;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";4500;"Prefeitura Municipal de Solonópole - CE";2313005;"CE";18127;"31/12/2018"
"5175";"Prefeitura Municipal de Francinópolis - PI";2204006;"PI";5265;"31/12/2018";"2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação";4500;"Prefeitura Municipal de Solonópole - CE";2313005;"CE";18127;"31/12/2018"
